runNumber() eventNumber() chargedFE.eta() chargedFE.phi() chargedFE.e() chargedFE.pt() charge() signalType()
410000 21642 0.510818 1.81895 3445.72 3037.86 1 8208 
410000 21642 -0.727418 -1.41104 3620.48 2834.28 -1 8208 
410000 21642 1.59341 -3.1074 6448.49 2516.51 -1 8208 
410000 21642 -2.25056 2.38628 11350.5 2364.9 -1 8208 
410000 21642 0.0131939 -2.8524 2238.08 2233.53 1 8208 
410000 21642 1.80636 0.269769 6890.17 2203.51 -1 8208 
410000 21642 0.732867 -1.23248 2808.23 2189.87 1 8208 
410000 21642 -1.01453 -1.88819 3376.92 2162.4 -1 8208 
410000 21642 -1.80491 2.95676 6137.05 1965.26 -1 8208 
410000 21642 0.246577 2.59129 1903.2 1841.8 1 8208 
410000 21642 -1.4904 1.07964 4254.2 1823.22 -1 8208 
410000 21642 -0.0692754 2.88381 1798.28 1788.56 1 8208 
410000 21642 -1.38866 1.51468 3345.39 1569.65 1 8208 
410000 21642 -0.580021 -1.29904 1804.39 1533.69 -1 8208 
410000 21642 1.24809 -2.95491 2872.57 1521.81 1 8208 
410000 21642 0.493916 -0.230175 1696.77 1503.83 -1 8208 
410000 21642 -0.854657 -1.54665 2091.1 1503.2 1 8208 
410000 21642 0.0180322 -1.2102 1509.56 1502.85 -1 8208 
410000 21642 1.25024 1.47452 2830.36 1496.67 -1 8208 
410000 21642 -1.0445 -1.61355 2350.41 1469.24 -1 8208 
410000 21642 1.41046 -0.39309 3183.17 1464.86 -1 8208 
410000 21642 1.13711 0.685917 2507.95 1456.49 -1 8208 
410000 21642 -0.384235 0.529801 1564.82 1450.21 -1 8208 
410000 21642 1.88685 -1.2862 4896.05 1450.07 1 8208 
410000 21642 -0.671208 0.84879 1793.74 1449.38 -1 8208 
410000 21642 1.10743 -0.671171 2418.32 1438.37 -1 8208 
410000 21642 0.606617 0.787532 1683.86 1410.49 -1 8208 
410000 21642 -0.410115 -0.0393882 1508.4 1383.91 -1 8208 
410000 21642 -1.31301 0.44161 2701.42 1353.52 1 8208 
410000 21642 0.0547378 1.25531 1359.93 1350.72 1 8208 
410000 21642 -1.43818 1.5951 3005.61 1349.27 1 8208 
410000 21642 -1.75941 1.1911 4003.83 1338 1 8208 
410000 21642 0.428756 3.05379 1466.15 1334.9 1 8208 
410000 21642 -0.739557 -1.50597 1713.2 1327.59 1 8208 
410000 21642 2.01568 -2.29477 5070.46 1327.01 1 8208 
410000 21642 -1.72796 -2.00861 3839.16 1321.42 -1 8208 
410000 21642 -0.332441 -2.99117 1388.34 1308.34 1 8208 
410000 21642 2.18521 0.488079 5869.38 1303.22 1 8208 
410000 21642 0.44476 -0.888168 1421.29 1285.2 1 8208 
410000 21642 0.383911 2.42492 1385.91 1283.14 -1 8208 
410000 21642 0.673995 -1.74385 1584.99 1277.51 -1 8208 
410000 21642 1.40967 -0.570334 2749.35 1265.7 -1 8208 
410000 21642 0.114649 1.61432 1256.46 1240.53 -1 8208 
410000 21642 -1.28763 -0.101366 2377.79 1217.24 1 8208 
410000 21642 -1.44038 1.1068 2538.24 1136.72 -1 8208 
410000 21642 -0.593621 -0.045593 1347.79 1134.68 1 8208 
410000 21642 1.435 2.17498 2520.13 1134.02 1 8208 
410000 21642 0.381097 -2.3084 1222.5 1131.35 1 8208 
410000 21642 1.03281 1.8278 1791.48 1128.63 1 8208 
410000 21642 0.678831 -1.47974 1398.79 1122.98 -1 8208 
410000 21642 2.38497 2.34893 6091.42 1112.21 1 8208 
410000 21642 -0.964504 0.576352 1667.88 1106.3 1 8208 
410000 21642 -0.231973 2.52157 1136.68 1098.39 1 8208 
410000 21642 -1.02024 -0.582192 1725.5 1097.41 -1 8208 
410000 21642 0.735801 2.097 1414.27 1096.82 -1 8208 
410000 21642 2.20202 2.2397 4978.8 1087.38 -1 8208 
410000 21642 1.78688 -1.87086 3334.62 1085.55 -1 8208 
410000 21642 1.8956 -0.397578 3696.95 1085.48 -1 8208 
410000 21642 1.49307 -2.2274 2536.05 1083.2 1 8208 
410000 21642 -0.65554 0.436347 1329.37 1081.26 1 8208 
410000 21642 0.0526001 -0.1293 1081.05 1070.52 1 8208 
410000 21642 2.26279 -2.26408 5159.19 1061.84 -1 8208 
410000 21642 1.80455 2.84269 3281.09 1050.38 -1 8208 
410000 21642 1.10675 2.50121 1737.83 1032.58 -1 8208 
410000 21642 1.67702 2.45571 2819.6 1017.3 1 8208 
410000 21642 0.222956 -1.07797 1043.37 1008.81 -1 8208 
410000 21642 1.23907 0.682374 1882.2 1003.2 -1 8208 
410000 21642 -1.51608 -2.528 2385.87 997.835 -1 8208 
410000 21642 -2.38505 -1.58495 5408.6 987.387 1 8208 
410000 21642 -0.145811 -0.270648 1006.52 986.296 -1 8208 
410000 21642 1.2746 -0.31722 1903.63 984.495 -1 8208 
410000 21642 -0.525126 -0.330627 1129.5 982.266 -1 8208 
410000 21642 1.92736 0.0363575 3435.85 978.501 1 8208 
410000 21642 1.7997 2.89241 3025.05 972.721 -1 8208 
410000 21642 -1.18225 -1.81189 1740.37 972.322 -1 8208 
410000 21642 -0.137731 -2.06603 987.743 968.63 -1 8208 
410000 21642 2.34083 1.89305 5012.13 955.589 1 8208 
410000 21642 -1.63295 0.491568 2535.53 952.782 1 8208 
410000 21642 -0.0487156 -1.59974 957.562 946.213 1 8208 
410000 21642 2.14258 2.72845 4065.41 940.649 1 8208 
410000 21642 1.60157 -0.482042 2410.81 932.425 1 8208 
410000 21642 -0.10805 -1.52315 941.637 925.826 -1 8208 
410000 21642 1.83818 0.087246 2957.64 916.906 -1 8208 
410000 21642 1.888 -0.128721 3069.55 907.549 -1 8208 
410000 21642 1.43387 -1.7812 2015.06 906.875 -1 8208 
410000 21642 1.81238 0.887486 2849.95 905.35 -1 8208 
410000 21642 1.98651 2.94523 3353.42 902.227 -1 8208 
410000 21642 -2.34461 -2.99779 4673.94 887.756 1 8208 
410000 21642 0.0123053 1.5251 897.039 886.048 -1 8208 
410000 21642 1.87373 0.107306 2939.98 881.07 1 8208 
410000 21642 2.17248 0.871799 3899.78 876.392 1 8208 
410000 21642 -0.202038 -0.263312 904.567 875.799 -1 8208 
410000 21642 0.133234 -2.27968 894.315 875.575 1 8208 
410000 21642 1.80609 2.17267 2735.3 874.03 1 8208 
410000 21642 0.93873 -1.50614 1293.45 872.431 -1 8208 
410000 21642 -1.17949 -1.15322 1468.46 821.208 -1 8208 
410000 21642 1.85476 3.13123 2643.21 806.37 -1 8208 
410000 21642 2.4293 2.89946 4096.77 715.864 -1 8208 
410000 21642 2.22833 0.396334 3350.22 712.795 1 8208 
410000 21642 2.41361 1.92094 4001.51 710.081 1 8208 
410000 21642 -2.1335 -0.295095 2979.15 695.07 -1 8208 
410000 21642 2.43974 0.725879 3686.58 637.513 -1 8208 
410000 21642 -1.73135 2.76455 1696.99 580.654 1 8208 
410000 21642 -1.77282 -1.15674 111973 36971.2 1 8208 
410000 21642 -1.77256 -1.17261 31335.9 10349 -1 8208 
410000 21642 -1.75443 -1.08057 9923.06 3333.37 1 8208 
410000 21642 -1.90868 2.68756 123311 35781.5 -1 8208 
410000 21642 -1.81436 -1.18293 69228 21976.8 -1 8208 
410000 21642 -1.89691 2.67766 55586.8 16312.3 1 8208 
410000 21642 -1.84853 2.65569 42080.9 12932 1 8208 
410000 21642 -1.89989 2.61788 18710.5 5474.95 -1 8208 
410000 21642 -1.88646 2.59175 17815.2 5280.29 -1 8208 
410000 21642 1.59266 0.739123 36607.3 14299.1 1 8208 
410000 21642 0.616177 1.67799 16193.6 13540.2 -1 8208 
410000 21642 -1.26532 1.29479 22372.5 11693.6 1 8208 
410000 21642 -1.26197 1.40216 12197.4 6393.27 1 8208 
410000 21642 -1.20744 0.95114 1956.74 1071.25 -1 8208 
410000 21642 1.56586 0.634425 21532.3 8620.14 -1 8208 
410000 21642 1.54195 0.587105 9372.18 3834.62 -1 8208 
410000 21642 -0.598165 -1.47849 7777.06 6565.75 1 8208 
410000 21642 -0.67271 -1.07374 1369.23 1102.97 1 8208 
410000 21642 -2.31246 -2.78601 30128.5 5908.51 -1 8208 
410000 21642 1.12558 0.751087 6454.13 3788.46 -1 8208 
410000 21642 0.590078 -2.7204 4401.9 3731.06 -1 8208 
410000 21642 -1.37358 1.24153 7711.32 3669.14 1 8208 
410000 21642 -1.75208 -1.14026 10693.9 3600.32 1 8208 
410000 21642 -1.67745 -1.30915 5370.45 1938.58 -1 8208 
410000 21642 -1.77969 -1.36331 5853.28 1919.6 -1 8208 
