runNumber() eventNumber() neutralFE.eta() neutralFE.phi() neutralFE.e() neutralFE.pt() charge() signalType()
410000 21642 -1.76605 -1.14823 273169 90772.7 0 4112 
410000 21642 3.61698 -0.948428 1.51479e+06 81327.1 0 4112 
410000 21642 -1.89317 2.66999 171691 50564.5 0 4112 
410000 21642 -1.76812 -1.26022 76133.1 25249.4 0 4112 
410000 21642 0.638405 1.70068 24607.9 20323.8 0 4112 
410000 21642 -3.85176 2.59114 380798 16170.7 0 4112 
410000 21642 -4.24111 2.20567 538242 15489.2 0 4112 
410000 21642 4.28853 0.682492 517966 14215.6 0 4112 
410000 21642 4.2497 -2.4433 496469 14164.9 0 4112 
410000 21642 -1.32554 1.28673 25646.3 12728.1 0 4112 
410000 21642 -4.16796 -0.788144 408475 12646.5 0 4112 
410000 21642 3.96207 -2.01663 331307 12600.8 0 4112 
410000 21642 -4.37579 0.726588 483693 12166 0 4112 
410000 21642 0.700446 1.87918 14358.9 11436.7 0 4112 
410000 21642 -1.88992 2.69037 38699.8 11432.9 0 4112 
410000 21642 -4.62105 -0.363308 579222 11400.8 0 4112 
410000 21642 -1.80747 -1.2228 35395.8 11310.3 0 4112 
410000 21642 -1.78469 -0.999226 33196.6 10838.6 0 4112 
410000 21642 3.43958 -1.19432 168649 10808.7 0 4112 
410000 21642 2.78041 0.797458 86154 10644.4 0 4112 
410000 21642 2.62157 -3.05637 69050.2 9985.62 0 4112 
410000 21642 -4.21394 1.13745 317929 9400.99 0 4112 
410000 21642 -1.76464 -1.27304 25383.9 8446.24 0 4112 
410000 21642 4.21645 -1.39434 284076 8378.93 0 4112 
410000 21642 -1.31931 1.21749 16296.2 8131.52 0 4112 
410000 21642 -4.64126 1.23895 418307 8068.88 0 4112 
410000 21642 1.59237 0.703206 18689.2 7302.13 0 4112 
410000 21642 3.7686 -1.3151 157026 7245.81 0 4112 
410000 21642 -2.90876 2.77191 66062.4 7185.12 0 4112 
410000 21642 1.57616 0.613989 18082.1 7170.98 0 4112 
410000 21642 2.80643 0.469694 57976.6 6980.45 0 4112 
410000 21642 -2.58207 -2.94839 44417.9 6679.37 0 4112 
410000 21642 -3.55003 0.808733 115273 6616.71 0 4112 
410000 21642 2.92893 -0.878564 61506.7 6556.85 0 4112 
410000 21642 3.97192 -0.871274 165824 6245.1 0 4112 
410000 21642 -3.51863 2.09626 103774 6146.32 0 4112 
410000 21642 4.1703 0.127595 194259 6000.26 0 4112 
410000 21642 4.58388 -1.99351 282879 5778.69 0 4112 
410000 21642 1.51452 0.516583 12725.7 5338.92 0 4112 
